,text,favourite_count,retweet_count,created_at
0,"#Biden: ""Mosca mira a decapitare il governo di #Kiev"". La #NATO rinforza le difese nell'Europa dell'est: #USA annuncia sanzioni devastanti alla #Russia

#stopwar #NoWar #RussiaUkraineConflict #Russia #RussiaUkraine #RussiaInvadedUkraine #WWIII #worldwar3 #WW3 https://t.co/a7tdJRbh7k",2,0,2022-02-24 19:16:38
1,Cina fai la brava #WW3 #Cina https://t.co/LE7gjKdTUV,577,35,2022-02-24 19:14:06
2,"RT @ManuDagostino: Oggi, mezzi militari degli Alpini, diretti in #Romania.
#RussiaUcraina #RussiaUkraineCrisis #RussiaInvadedUkraine #WW3 #…",0,50,2022-02-24 19:12:46
3,"RT @italiadeidolori: Approvata DICHIARAZIONE STATO DI GUERRA
NULL'ALTRO DA AGGIUNGERE...

#MartialLaw 
#LeggeMarziale
#socialismo 
#WW3 htt…",0,87,2022-02-24 18:44:04
4,Vabbè... #RussiaUkraineConflict #Ukraine #Salvini #merda #worldwar3 #WW3 #war https://t.co/VfdSo9iR7g,3,1,2022-02-24 18:21:52
5,RT @dvcaradonna: Non ci fidiamo più l'uno dell'altro. Vediamo agguati dappertutto. Il sospetto è divenuto organico nei rapporti col prossim…,0,3,2022-02-24 17:44:46
6,"essere a pieno titolo nella sfera di influenza russa?

Stesso copione, ma con alti lai ancora più striduli, si ripeterà quando la Cina invaderà Taiwan. 

Niente #ww3, rilassatevi.",1,0,2022-02-24 17:01:38
7,"Ma solo io penso che non ci sarà nessuna #ww3 ? La Russia si prenderà un pezzo di Ucraina e darà il la a un regime change nel suo cortile di casa, gli USA sapevano che portare la Nato in Ucraina avrebbe fatto imbestialire l’orso, ci hanno provato e gli è andata male. UE sbraita",3,0,2022-02-24 16:57:55
8,"è giusto essere preoccupati per la #WW3, ma non fate i finti moralisti: non possiamo cambiare le cose, se ci ""scherziamo"" sopra è un ridere per non piangere, un coping mechanism, l'unica alternativa che abbiamo alla disperazione #worldwar3",6,0,2022-02-24 16:45:31
9,RT @dvcaradonna: Non ci fidiamo più l'uno dell'altro. Vediamo agguati dappertutto. Il sospetto è divenuto organico nei rapporti col prossim…,0,3,2022-02-24 16:38:43
10,"Non ci fidiamo più l'uno dell'altro. Vediamo agguati dappertutto. Il sospetto è divenuto organico nei rapporti col prossimo. E il cuore se ne va a pezzi dietro i cancelli dei nostri recinti.
Don Tonino Bello
#WW3 
@adelestancati https://t.co/ozEr62Ocd9",1,3,2022-02-24 16:37:26
11,"il mio bioritmo diceva che oggi sarebbe stata una brutta giornata per me, ma a parte il fatto che è tutto il giorno che mi cago in mano per la probabile #WW3 , mi sono divertita un sacco con le mie amiche",0,0,2022-02-24 16:37:10
12,"Présidente Putin in nome do tutto il mondo:non vogliamo la Guerra.
#StopWar #Guerra #StopTheWar #RussiaUkraineConflict #Trump #BREAKING #MakePeaceNotWar #WW3 #Peace #Russia #Ukraina #Ucraina",1,0,2022-02-24 16:30:54
13,"RT @Fmyers722: 🇺🇦🔥🇷🇺 Jato russo Su-25.

🚨💥🌏 #WW3 https://t.co/xwnFTgyDSf",0,2,2022-02-24 15:56:24
14,"RT @Fmyers722: 🇺🇦🔥🇷🇺 Jato russo Su-25.

🚨💥🌏 #WW3 https://t.co/xwnFTgyDSf",0,2,2022-02-24 15:35:59
15,"🇺🇦🔥🇷🇺 Jato russo Su-25.

🚨💥🌏 #WW3 https://t.co/xwnFTgyDSf",7,2,2022-02-24 15:35:03
16,OH MA PRIMA CHE FINISCA IL MONDO ME FATE SBUSTARE UNA BUSTINA DI ASTRI LUCENTI? @PokemonIT @GCCPokemon #astrilucenti #WW3 https://t.co/4CwzR3keSj,0,0,2022-02-24 15:30:26
17,OH MA PRIMA CHE FINISCA IL MONDO ME FATE SBUSTARE UNA BUSTINA DI ASTRI LUCENTI? @PokemonIT @GCCPokemon #astrilucenti #WW3,1,0,2022-02-24 15:22:56
18,"RT @italiadeidolori: Approvata DICHIARAZIONE STATO DI GUERRA
NULL'ALTRO DA AGGIUNGERE...

#MartialLaw 
#LeggeMarziale
#socialismo 
#WW3 htt…",0,87,2022-02-24 14:34:28
19,"Questo mondo è perso, sta per crollare tutto, l'unica speranza è che la nostra generazione ripeschi ciò che si salva e lo migliori. Purtroppo noi ragazzi stiamo vivendo male attualmente, e possiamo solo sperare che noi saremo migliori dei nostri genitori e dei nostri nonni. #WW3 https://t.co/7gRTMAAfxl",3,0,2022-02-24 14:16:32
20,"RT @ManuDagostino: Oggi, mezzi militari degli Alpini, diretti in #Romania.
#RussiaUcraina #RussiaUkraineCrisis #RussiaInvadedUkraine #WW3 #…",0,50,2022-02-24 14:06:45
21,Se finisce che devo arruolarmi mi metto a camperare con il BRM come in casetta su nuketown.                                                          #WW3 #worldwar3,1,0,2022-02-24 14:01:33
22,"#Parole, #parole, #parole 
#Soltanto #parole 
Parole tra noi… questa canzone di #Mina riflete L’europa e L’America #oggi! #IStandWithUkraine #WW3 #USAvsRussia #EU #Europe",0,0,2022-02-24 13:46:51
23,"RT @Lucignola__: E anche in ‘Una vita’ parlano di guerra.

MA SI PUÒ PASSARE CINUQE MINUTI IN SERENITÀ SENZA PENSARE A TUTTO CIÒ?

#WW3 #Ru…",0,1,2022-02-24 13:45:35
24,"E anche in ‘Una vita’ parlano di guerra.

MA SI PUÒ PASSARE CINUQE MINUTI IN SERENITÀ SENZA PENSARE A TUTTO CIÒ?

#WW3 #RussiaUcraina https://t.co/LeVeKvhs9J",4,1,2022-02-24 13:45:22
25,Essere svegliato la mattina dal rumore delle stronzate che si leggono sui social invece che dal rumore delle bombe o i razzi che cadono sulla tua città inviati da una Nazione che ti sta invadendo per imporre la sua dittatura ti fa apprezzare di vivere in un Paese libero #WW3,1,0,2022-02-24 13:29:39
26,"Molto bene, il fronte si fa più delineato: l'IRAN appoggia la Russia. Ed è ora chiaro dove si nascondano le armi nucleari Iraniane. #WWIII #WW3 #UkraineRussie",0,0,2022-02-24 13:17:22
27,"RT @unpochinodibene: io e sergio prenderemo una villetta in islanda
#RussiaUcraina #WW3 https://t.co/w5mobLdE2K",0,5,2022-02-24 13:06:15
28,#Draghi poche e preoccupate parole: stop a spargimento di sangue #RussiaUcrania #WW3,0,0,2022-02-24 12:40:10
29,"Il peggior cambio di sempre 

#worldwar3 #WW3 #WWIII #RussiaUkraine #putin #trump #nato #RussiaUkraineCrisis #RussiaInvadedUkraine https://t.co/OlOiEDOKY6",9,0,2022-02-24 12:09:06
30,"Come finira’ la #pandemia e lo #statodiemergenza? Sono 2 anni che ci poniamo questa domanda, credo che ora sia chiaro in che modo: si passera’ a #statodiemergenza per #Guerra.

#WW3 #NATO #Ucrainarussia #RussiaUcraina #Russia #Putin #Kyiv",0,0,2022-02-24 12:01:21
31,#ww3 fini le #COVID19,0,0,2022-02-24 11:57:24
32,Sempre sul pezzo Ceferin 👏🏻👏🏻 #ceferin #uefa #WW3 https://t.co/XiFEj1zONy,0,0,2022-02-24 11:46:34
